name,code,type,barcode,pack_label,units_per_strip,description,chemical_composition,general_recommendation,where_to_use
Lariago Ds,MI052004AK,Tab,,,5,"This product is primarily indicated for malaria utilizing Chloroquine, but should not be used in patients with known hypersensitivity.",Chloroquine,,Malaria
Levocetrizine[Lct],250449,Tab,,,15,"This product is primarily indicated for allergies utilizing Levocetirizine, but should not be used in patients with known hypersensitivity.",Levocetirizine,,Allergies
Licoforte [Lysoflame],TC-139,Tab,,,9,"This product is primarily indicated for infections/inflammation utilizing Lysozyme, but should not be used in patients with known hypersensitivity.",Lysozyme,,Infections/Inflammation
Limcee 500Mg[Celin],RV25295,Tab,,,14,"This product is primarily indicated for vitamin c deficiency/immunity utilizing Vitamin C 500mg (recommended: chew daily), but should not be used in patients with known hypersensitivity.",Vitamin C 500mg,Chew daily,Vitamin C deficiency/Immunity
Liofen 10,GTF3283A,Tab,,,10,"This product is primarily indicated for muscle spasms utilizing Baclofen 10mg, but should not be used in patients with known hypersensitivity.",Baclofen 10mg,,Muscle spasms
Me-12 Od,MEOD2524,Tab,,,15,"This product is primarily indicated for vitamin b12 deficiency/neuropathy utilizing Methylcobalamin, but should not be used in patients with known hypersensitivity.",Methylcobalamin,,Vitamin B12 deficiency/Neuropathy
Meganeuron Od+,SPJ251321,Tab,,,10,"This product is primarily indicated for neuropathy utilizing Methylcobalamin + Vitamins + Minerals, but should not be used in patients with known hypersensitivity.",Methylcobalamin + Vitamins + Minerals,,Neuropathy
Metolar Xr-25,5BA0803,Tab,,,15,"This product is primarily indicated for hypertension/angina utilizing Metoprolol 25mg, but should not be used in patients with known hypersensitivity.",Metoprolol 25mg,,Hypertension/Angina
Metrogyll -400,T-4156,Tab,,,10,"This product is primarily indicated for bacterial/parasitic infections utilizing Metronidazole 400mg, but should not be used in patients with known hypersensitivity.",Metronidazole 400mg,,Bacterial/Parasitic infections
Monocef -200,BPJ252420,Tab,,,10,"This product is primarily indicated for as antibiotics utilizing Cefpodoxime 200mg, but should not be used in patients with known hypersensitivity.",Cefpodoxime 200mg,,As Antibiotics
Montewok-Lc,WIG24042,Tab,,,10,"This product is primarily indicated for allergies/asthma utilizing Montelukast + Levocetirizine, but should not be used in patients with known hypersensitivity.",Montelukast + Levocetirizine,,Allergies/Asthma
Montina -Fx,BPK252812,Tab,,,10,"This product is primarily indicated for allergies/asthma utilizing Montelukast + Fexofenadine, but should not be used in patients with known hypersensitivity.",Montelukast + Fexofenadine,,Allergies/Asthma
Myprol-25,DRT24281,Tab,,,10,"This product is primarily indicated for hypertension utilizing Metoprolol 25mg, but should not be used in patients with known hypersensitivity.",Metoprolol 25mg,,Hypertension
Nicip 100Mg,4B50960,Tab,,,10,"This product is primarily indicated for pain/inflammation utilizing Nimesulide 100mg, but should not be used in patients with known hypersensitivity.",Nimesulide 100mg,,Pain/Inflammation
Norflox -Tz,STC24197,Tab,,,10,"This product is primarily indicated for diarrhea/dysentery utilizing Norfloxacin + Tinidazole, but should not be used in patients with known hypersensitivity.",Norfloxacin + Tinidazole,,Diarrhea/Dysentery
Norflox-400,STC25132,Tab,,,10,"This product is primarily indicated for bacterial infections/uti utilizing Norfloxacin 400mg, but should not be used in patients with known hypersensitivity.",Norfloxacin 400mg,,Bacterial infections/UTI
Normaxin,HNX1680825,Tab,,,19,"This product is primarily indicated for ibs/abdominal pain utilizing Chlordiazepoxide + Clidinium + Dicyclomine, but should not be used in patients with known hypersensitivity.",Chlordiazepoxide + Clidinium + Dicyclomine,,IBS/Abdominal pain
Ocine-Oz,TA5058C,Tab,,,9,"This product is primarily indicated for bacterial/parasitic infections utilizing Ofloxacin + Ornidazole, but should not be used in patients with known hypersensitivity.",Ofloxacin + Ornidazole,,Bacterial/Parasitic infections
Paraxin 500Mg,PXC24006,Tab,,,10,"This product is primarily indicated for bacterial infections utilizing Chloramphenicol 500mg, but should not be used in patients with known hypersensitivity.",Chloramphenicol 500mg,,Bacterial infections
Platenza,106250764,Tab,,,20,"This product is primarily indicated for dengue/low platelets utilizing Carica Papaya Extract, but should not be used in patients with known hypersensitivity.",Carica Papaya Extract,,Dengue/Low platelets
Podobless 200,T240366A,Tab,,,10,"This product is primarily indicated for bacterial infections utilizing Cefpodoxime 200mg, but should not be used in patients with known hypersensitivity.",Cefpodoxime 200mg,,Bacterial infections
Preddy-8,KTT24699,Tab,,,14,"This product is primarily indicated for severe allergies/inflammation utilizing Methylprednisolone 8mg, but should not be used in patients with known hypersensitivity.",Methylprednisolone 8mg,,Severe allergies/Inflammation
Pyregesic 650,P65123,Tab,,,14,"This product is primarily indicated for for fever utilizing Paracetamol 650mg, but should not be used in patients with known hypersensitivity.",Paracetamol 650mg,,For fever
Ribonyl[Azithromycin],RIB-205,Tab,,,5,"This product is primarily indicated for bacterial infections utilizing Azithromycin, but should not be used in patients with known hypersensitivity.",Azithromycin,,Bacterial infections
Rifagut 400,GKG1324A,Tab,,,10,"This product is primarily indicated for hepatic encephalopathy/ibs utilizing Rifaximin 400mg, but should not be used in patients with known hypersensitivity.",Rifaximin 400mg,,Hepatic encephalopathy/IBS
Rifagut 550,GKG1645A,Tab,,,10,"This product is primarily indicated for hepatic encephalopathy/ibs utilizing Rifaximin 550mg, but should not be used in patients with known hypersensitivity.",Rifaximin 550mg,,Hepatic encephalopathy/IBS
Senral -A[Ralent],TF5034A,Tab,,,7,"This product is primarily indicated for cough/allergies utilizing Levocetirizine + Ambroxol, but should not be used in patients with known hypersensitivity.",Levocetirizine + Ambroxol,,Cough/Allergies
Sinarest,7260026,Tab,,,14,"This product is primarily indicated for cold and cough utilizing Paracetamol + Phenylephrine + Chlorpheniramine, but should not be used in patients with known hypersensitivity.",Paracetamol + Phenylephrine + Chlorpheniramine,,Cold and cough
Skulace -P,MDT-3782,Tab,,,9,"This product is primarily indicated for pain/fever utilizing Aceclofenac + Paracetamol, but should not be used in patients with known hypersensitivity.",Aceclofenac + Paracetamol,,Pain/Fever
Skulace -P,SGT1940D,Tab,,,10,"This product is primarily indicated for pain/fever utilizing Aceclofenac + Paracetamol, but should not be used in patients with known hypersensitivity.",Aceclofenac + Paracetamol,,Pain/Fever
Skulace-Sp,SGT1940D,Tab,,,10,"This product is primarily indicated for pain/inflammation utilizing Aceclofenac + Serratiopeptidase + Paracetamol, but should not be used in patients with known hypersensitivity.",Aceclofenac + Serratiopeptidase + Paracetamol,,Pain/Inflammation
Sorbitrate 5Mg,SBA25001,Tab,,,50,"This product is primarily indicated for angina/heart pain utilizing Isosorbide Dinitrate 5mg, but should not be used in patients with known hypersensitivity.",Isosorbide Dinitrate 5mg,,Angina/Heart pain
Styptovit-E,FT17425014,Tab,,,10,"This product is primarily indicated for bleeding utilizing Ethamsylate, but should not be used in patients with known hypersensitivity.",Ethamsylate,,Bleeding
Tbflex -O,LGP03/215/10,Tab,,,10,"This product is primarily indicated for pain/inflammation utilizing Trypsin + Bromelain + Rutoside, but should not be used in patients with known hypersensitivity.",Trypsin + Bromelain + Rutoside,,Pain/Inflammation
Telma 40,18240611,Tab,,,30,"This product is primarily indicated for for hypertension utilizing Telmisartan 40mg, but should not be used in patients with known hypersensitivity.",Telmisartan 40mg,,For Hypertension
Telvas -Am,BPJ252401,Tab,,,14,"This product is primarily indicated for for hypertension utilizing Telmisartan + Amlodipine, but should not be used in patients with known hypersensitivity.",Telmisartan + Amlodipine,,For hypertension
Telvas 40,SPE250643,Tab,,,14,"This product is primarily indicated for for hypertension utilizing Telmisartan 40mg, but should not be used in patients with known hypersensitivity.",Telmisartan 40mg,,FOR HYPERTENSION
Thyronorm 25Mcg,TMB25228,Tab,,,120,"This product is primarily indicated for hypothyroidism utilizing Thyroxine 25mcg (recommended: empty stomach), but should not be used in patients with known hypersensitivity.",Thyroxine 25mcg,Empty stomach,Hypothyroidism
Thyronorm 50Mcg,,Tab,,,120,"This product is primarily indicated for hypothyroidism utilizing Thyroxine 50mcg (recommended: empty stomach), but should not be used in patients with known hypersensitivity.",Thyroxine 50mcg,Empty stomach,Hypothyroidism
Thyronorm 75Mcg,TMF26009,Tab,,,120,"This product is primarily indicated for hypothyroidism utilizing Thyroxine 75mcg (recommended: empty stomach), but should not be used in patients with known hypersensitivity.",Thyroxine 75mcg,Empty stomach,Hypothyroidism
Thyronorm100 Mcg,TMH25205,Tab,,,119,"This product is primarily indicated for hypothyroidism utilizing Thyroxine 100mcg (recommended: empty stomach), but should not be used in patients with known hypersensitivity.",Thyroxine 100mcg,Empty stomach,Hypothyroidism
Thyronorm37.5Mcg,TMC24006,Tab,,,120,"This product is primarily indicated for hypothyroidism utilizing Thyroxine 37.5mcg (recommended: empty stomach), but should not be used in patients with known hypersensitivity.",Thyroxine 37.5mcg,Empty stomach,Hypothyroidism
Torimac-P,KTT24783,Tab,,,10,"This product is primarily indicated for edema/hypertension utilizing Torasemide, but should not be used in patients with known hypersensitivity.",Torasemide,,Edema/Hypertension
Trenaxa 500Mg,18252405A,Tab,,,10,"This product is primarily indicated for bleeding utilizing Tranexamic Acid 500mg, but should not be used in patients with known hypersensitivity.",Tranexamic Acid 500mg,,Bleeding
Tryzol Plus,SPT-40510,Tab,,,1,"This product is primarily indicated for pain/inflammation utilizing Trypsin + Chymotrypsin, but should not be used in patients with known hypersensitivity.",Trypsin + Chymotrypsin,,Pain/Inflammation
Udiliv 300,842923D7,Tab,,,15,"This product is primarily indicated for liver/gallbladder issues utilizing Ursodeoxycholic Acid 300mg, but should not be used in patients with known hypersensitivity.",Ursodeoxycholic Acid 300mg,,Liver/Gallbladder issues
Ultra-King,PUKTL008,Tab,,,15,"This product is primarily indicated for nutritional deficiency utilizing Multivitamins + Minerals, but should not be used in patients with known hypersensitivity.",Multivitamins + Minerals,,Nutritional deficiency
Urimax 0.4,5SA0515,Tab,,,15,"This product is primarily indicated for bph (enlarged prostate) utilizing Tamsulosin 0.4mg, but should not be used in patients with known hypersensitivity.",Tamsulosin 0.4mg,,BPH (Enlarged prostate)
Valcivir-1000,6SN0306,Tab,,,3,"This product is primarily indicated for viral infections utilizing Valacyclovir 1000mg, but should not be used in patients with known hypersensitivity.",Valacyclovir 1000mg,,Viral infections
Vertigon,MV115017,Tab,,,20,"This product is primarily indicated for nausea/vertigo utilizing Prochlorperazine, but should not be used in patients with known hypersensitivity.",Prochlorperazine,,Nausea/Vertigo
Zentil [Albendazol],A224,Tab,,,1,"This product is primarily indicated for worm infections utilizing Albendazole, but should not be used in patients with known hypersensitivity.",Albendazole,,Worm infections
Zerodol -P,KVB0125134AS,Tab,,,10,"This product is primarily indicated for for painkiller utilizing Aceclofenac + Paracetamol, but should not be used in patients with known hypersensitivity.",Aceclofenac + Paracetamol,,For painkiller
Zerodol -Sp,FND0826004AK,Tab,,,10,"This product is primarily indicated for pain/inflammation utilizing Aceclofenac + Serratiopeptidase + Paracetamol, but should not be used in patients with known hypersensitivity.",Aceclofenac + Serratiopeptidase + Paracetamol,,Pain/Inflammation
Zerodol Th Max 4,JSM0125012A5,Tab,,,10,"This product is primarily indicated for muscle spasm/pain utilizing Aceclofenac + Thiocolchicoside, but should not be used in patients with known hypersensitivity.",Aceclofenac + Thiocolchicoside,,Muscle spasm/Pain
Ziglim -M1,405I007,Tab,,,15,"This product is primarily indicated for type 2 diabetes utilizing Glimepiride + Metformin, but should not be used in patients with known hypersensitivity.",Glimepiride + Metformin,,Type 2 Diabetes
Ziglim -M2,,Tab,,,15,"This product is primarily indicated for type 2 diabetes utilizing Glimepiride + Metformin, but should not be used in patients with known hypersensitivity.",Glimepiride + Metformin,,Type 2 Diabetes
Ziglim Plus 1,3.40E+06,Tab,,,10,"This product is primarily indicated for type 2 diabetes utilizing Glimepiride + Metformin + Pioglitazone, but should not be used in patients with known hypersensitivity.",Glimepiride + Metformin + Pioglitazone,,Type 2 Diabetes
Ziglim Plus 2,055I004,Tab,,,10,"This product is primarily indicated for type 2 diabetes utilizing Glimepiride + Metformin + Pioglitazone, but should not be used in patients with known hypersensitivity.",Glimepiride + Metformin + Pioglitazone,,Type 2 Diabetes
A To Z Gold,NA269034ID,Tab,,,15,"This product is primarily indicated for manage vitamins and minerals deficiencies. utilizing Multivitamins + Minerals, but should not be used in patients with known hypersensitivity.",Multivitamins + Minerals,,manage vitamins and minerals deficiencies.
Cetanil T,DY3405001,Tab,,,15,"This product is primarily indicated for manage hypertension utilizing Cilnidipine + Telmisartan, but should not be used in patients with known hypersensitivity.",Cilnidipine + Telmisartan,,Manage hypertension
Dopanorm Trio,DT400985,Tab,,,10,"This product is primarily indicated for use for type 2 diabetes mellites utilizing Glimepiride + Metformin + Voglibose, but should not be used in patients with known hypersensitivity.",Glimepiride + Metformin + Voglibose,,use for Type 2 diabetes mellites
Nebilong 5 Mg,NBA50012,Tab,,,15,"This product is primarily indicated for hypertension utilizing Nebivolol 5mg, but should not be used in patients with known hypersensitivity.",Nebivolol 5mg,,hypertension
Ondem-Md,25441894,Tab,,,10,"This product is primarily indicated for for vomiting utilizing Ondansetron, but should not be used in patients with known hypersensitivity.",Ondansetron,,FOR VOMITING
Apcil 625,CBZ05ADA,Tab,,,10,"This product is primarily indicated for bacterial infections utilizing Amoxicillin + Clavulanic Acid, but should not be used in patients with known hypersensitivity.",Amoxicillin + Clavulanic Acid,,Bacterial infections
Bestoflox-200,SBT-2508228,Tab,,,10,"This product is primarily indicated for bacterial infections utilizing Ofloxacin 200mg, but should not be used in patients with known hypersensitivity.",Ofloxacin 200mg,,Bacterial infections
Cidaflox Clav,MROAD07,Tab,,,6,"This product is primarily indicated for bacterial infections utilizing Ciprofloxacin + Clavulanic Acid, but should not be used in patients with known hypersensitivity.",Ciprofloxacin + Clavulanic Acid,,Bacterial infections
Clavam 625,26440240,Tab,,,10,"This product is primarily indicated for bacterial infections utilizing Amoxicillin + Clavulanic Acid, but should not be used in patients with known hypersensitivity.",Amoxicillin + Clavulanic Acid,,Bacterial infections
Crocin,EA25100,Tab,,,20,"This product is primarily indicated for for headache and fever both utilizing Paracetamol, but should not be used in patients with known hypersensitivity.",Paracetamol,,For headache and fever both
Cystone,106251131,Tab,,,60,"This product is primarily indicated for kidney stones utilizing Ayurvedic proprietary medicine, but should not be used in patients with known hypersensitivity.",Ayurvedic proprietary medicine,,Kidney stones
Doxizac,DEMC-25050C,Tab,,,10,"This product is primarily indicated for bacterial infections utilizing Doxycycline, but should not be used in patients with known hypersensitivity.",Doxycycline,,Bacterial infections
Ecosprin Av 75/20,28026929,Tab,,,15,"This product is primarily indicated for cholesterol/heart protection utilizing Atorvastatin + Aspirin, but should not be used in patients with known hypersensitivity.",Atorvastatin + Aspirin,,Cholesterol/Heart protection
Liv.52 Ds,111250781,Tab,,,60,"This product is primarily indicated for liver health utilizing Ayurvedic proprietary medicine, but should not be used in patients with known hypersensitivity.",Ayurvedic proprietary medicine,,Liver health
Nucoxia 90,IA01351A,Tab,,,15,"This product is primarily indicated for pain/inflammation utilizing Etoricoxib 90mg, but should not be used in patients with known hypersensitivity.",Etoricoxib 90mg,,Pain/Inflammation
Pilex,111250666,Tab,,,60,"This product is primarily indicated for hemorrhoids/piles utilizing Ayurvedic proprietary medicine, but should not be used in patients with known hypersensitivity.",Ayurvedic proprietary medicine,,Hemorrhoids/Piles
Shelcal 500,8LV2M390,Tab,,,15,"This product is primarily indicated for bone health utilizing Calcium + Vitamin D3, but should not be used in patients with known hypersensitivity.",Calcium + Vitamin D3,,Bone health
Shelcal Xt,2SG6N004,Tab,,,15,"This product is primarily indicated for bone health utilizing Calcium + Vitamin D3 + Minerals, but should not be used in patients with known hypersensitivity.",Calcium + Vitamin D3 + Minerals,,Bone health
Zerodol-Spas,DSB1025005AS,Tab,,,10,"This product is primarily indicated for mostly use for abdominal pain utilizing Aceclofenac + Drotaverine, but should not be used in patients with known hypersensitivity.",Aceclofenac + Drotaverine,,Mostly use for abdominal pain
Amodep-At,074J034,Tab,,,15,"This product is primarily indicated for hypertension utilizing Amlodipine + Atenolol, but should not be used in patients with known hypersensitivity.",Amlodipine + Atenolol,,Hypertension
Disprin 325 Mg,TC842,Tab,,,9,"This product is primarily indicated for for headache utilizing Aspirin 325mg, but should not be used in patients with known hypersensitivity.",Aspirin 325mg,,For headache
Evion-Lc,4358C82302,Tab,,,10,"This product is primarily indicated for muscle cramps/vitamin e deficiency utilizing Vitamin E + Levocarnitine, but should not be used in patients with known hypersensitivity.",Vitamin E + Levocarnitine,,Muscle cramps/Vitamin E deficiency
Febutaz 40,SIG2049A,Tab,,,15,"This product is primarily indicated for gout/high uric acid utilizing Febuxostat 40mg, but should not be used in patients with known hypersensitivity.",Febuxostat 40mg,,Gout/High uric acid
Macfast 650,18253468A,Tab,,,10,"This product is primarily indicated for fever/pain utilizing Paracetamol 650mg, but should not be used in patients with known hypersensitivity.",Paracetamol 650mg,,Fever/Pain
Meftal-Forte,ZAGQ 25181,Tab,,,10,"This product is primarily indicated for pain/fever utilizing Mefenamic Acid + Paracetamol, but should not be used in patients with known hypersensitivity.",Mefenamic Acid + Paracetamol,,Pain/Fever
Minicycline 100Mg[Doxycyline],R25301111,Tab,,,10,"This product is primarily indicated for bacterial infections utilizing Doxycycline 100mg, but should not be used in patients with known hypersensitivity.",Doxycycline 100mg,,Bacterial infections
Neurobion Forte,5052C83907,Tab,,,30,"This product is primarily indicated for vitamin b deficiency utilizing Vitamins B1 + B6 + B12, but should not be used in patients with known hypersensitivity.",Vitamins B1 + B6 + B12,,Vitamin B deficiency
Ostoshine,SWC0030,Tab,,,10,"This product is primarily indicated for osteoarthritis utilizing Glucosamine + Diacerein, but should not be used in patients with known hypersensitivity.",Glucosamine + Diacerein,,Osteoarthritis
Podobless 200,T240366A,Tab,,,10,"This product is primarily indicated for bacterial infections utilizing Cefpodoxime 200mg, but should not be used in patients with known hypersensitivity.",Cefpodoxime 200mg,,Bacterial infections
Trycold,LV25LT-144,Tab,,,10,"This product is primarily indicated for cold and cough utilizing Paracetamol + Phenylephrine + Chlorpheniramine, but should not be used in patients with known hypersensitivity.",Paracetamol + Phenylephrine + Chlorpheniramine,,Cold and cough
Vitamin D3 60K Iu,VITD-60K,Capsule,8901000000016,4*1,1,"This product is primarily indicated for vitamin d deficiency utilizing Cholecalciferol, but should not be used in patients with known hypersensitivity.",Cholecalciferol,,Vitamin D deficiency
